Id,Age,Gender,Wear glasses?,Lasik Surgery?,Difficulty in chewing?,Annotator,Eating Method,Drinking Method,Chair type,Food type,Notes
1101,21,M,No,No,No,Annotator 1,hand,bottle,rolling,sandwich+nuts+vegetables,
1102,21,F,No,No,No,Annotator 2,chopsticks,bottle,fixed,rice+meat,
1103,20,M,Yes,No,No,Annotator 1,utensils,cup,rolling,fish+pasta,Used contact lenses. Moved abruptly on rolling chair during eating. Half picture was taken with label "FULL"
1104,20,M,No,No,No,Annotator 2,utensils,cup,rolling,fish+pasta,
1105,20,M,Yes,No,No,Annotator 2,utensils+chopsticks,straw,fixed,rice+vegetable,Eating while playing cellphone
1106,19,M,No,No,No,Annotator 2,utensils,straw,fixed,rice+bread,
1107,20,F,Yes,No,No,Annotator 1,utensils,bottle,fixed,rice+egg,Did not wear prescription glasses all the time
1108,18,F,No,No,No,Annotator 2,utensils,cup ,fixed,salad,
1109,21,F,Yes,No,No,Annotator 1,hand,cup,fixed,sandwich,Glass on top of her prescription glasses. Adjusted Glass several times
1110,20,M,No,No,No,Annotator 1,hand,cup,fixed,sandwich,
1111,20,F,Yes,No,No,Annotator 2,utensils,cup,fixed,rice+fish,Glass on top of her prescription glasses. Adjusted Glass several times
1112,20,F,Yes,No,No,Annotator 1,chopsticks,cup,fixed,sushi,Did not wear prescription glasses during study
1113,20,M,Yes,No,No,Annotator 1,hand,cup,fixed,pizza,Did not wear prescription glasses during study. Between 2 sessions of eating walked around in the lab. Data collection frequency is about 300ms instead of 200ms due to Glass update
1114,18,M,No,No,No,Annotator 1,utensils,bottle+cup,fixed,fruits,Drank a bottle of water during second session of eating. Annotated drinking session is by cup. Charging of Glass started for last 30 mins after the drinking session
1115,18,M,Yes,No,No,Annotator 2,utensils,cup,fixed,sandwich,Used contact lenses.  Glass took pictures several times by winking.
1116,21,M,Yes,No,No,Annotator 1,hand,bottle,fixed,sandwich,Did not wear prescription glasses during study. Glass took pictures several times by winking 
1117,21,M,No,No,No,Annotator 2,hand,cup,fixed,bread,A lot of drinking session
1118,19,F,No,No,No,Annotator 1,hand,bottle,fixed,sandwich+chocolate+vegetables,
1119,20,F,No,No,No,Annotator 1,hand,bottle,rolling,bread+cookies,1st eating session involves a lot of movement. Worked on laptop during both sessions of eating. During walking she was limping. Eating sessions were long (each around 30mins). Missed one drinking session between two eating sessions
1120,20,F,Yes,No,No,Annotator 2,utensils,bottle,rolling,rice,
1121,21,M,Yes,No,No,Annotator 2,utensils,bottle,fixed,pasta,
1122,21,M,No,No,No,Annotator 1,utensils,cup,fixed,rice+chocolate+fruits,2nd eating session contains working on cellphone
1123,19,F,No,No,No,Annotator 2,utensils,bottle,rolling,pasta,
1124,18,F,No,No,No,Annotator 1,hand,bottle,fixed,sandwich+chips,
1125,18,M,No,No,No,Annotator 2,utensils,cup,rolling,pasta,
1126,19,M,Yes,No,No,Annotator 1,hand,bottle,rolling,sandwich+chips+fruits,Used contact lenses
1127,20,M,Yes,No,No,Annotator 2,hand,bottle,fixed,sandwich,
1128,19,F,No,No,No,Annotator 2,utensils,bottle,fixed,fishball+sausage,
1129,18,M,Yes,No,No,Annotator 1,Hand,cup,fixed,sandwich,Used contact lenses
1130,21,M,Yes,No,No,Annotator 2,utensils,bottle,rolling,fish+vegetables,
1131,18,M,No,No,No,Annotator 2,utensils+hands,bottle+cup,fixed,pizza+pasta,
1132,18,M,No,No,No,Annotator 1,utensils,bottle,fixed,rice+fish,Drank whole bottle in one drinking session
1133,19,F,Yes,No,No,Annotator 1,utensils,bottle,fixed,salad,Did not wear prescription glasses during study
1134,21,M,Yes,No,No,Annotator 2,utensils+chopsticks,cup,fixed,rice+meat,
1135,18,F,No,No,No,Annotator 2,utensils,bottle+cup,fixed,pizza+salad,
1136,18,F,Yes,No,No,Annotator 1,hand,bottle,fixed,sandwich+chips,Did not wear prescription glasses during study
1137,19,F,No,No,No,Annotator 2,hand,bottle,rolling,donut,
1138,18,F,No,No,No,Annotator 1,hand+spoon,bottle ,fixed,cookies,1st half of eating with hand and 2nd half with spoon
