Start,Stop,MPL Magnetic Field X,MPL Magnetic Field Y,MPL Magnetic Field Z,MPL Rotation Vector X,MPL Rotation Vector Y,MPL Rotation Vector Z,MPL Linear Acceleration X,MPL Linear Acceleration Y,MPL Linear Acceleration Z,MPL Gravity X,MPL Gravity Y,MPL Gravity Z,MPL Gyroscope X,MPL Gyroscope Y,MPL Gyroscope Z,MPL Accelerometer X,MPL Accelerometer Y,MPL Accelerometer Z,Action
1406562041106,1406562041121,-0.01616086,-0.4571429,0.06808511,0.39444473,7.989301,5.6732106,0.036343522,0.45763043,0.888002,0.37828386,7.5321584,5.741296,1.0753413,-41.89081,-0.79945016,-0.14892156,-0.028435636,0.026243055,0
1406562041306,1406562041321,0.041150343,-0.39444473,-0.21772271,0.06539164,7.9074497,5.799804,0.021658305,0.4514657,0.8913244,0.10654198,7.513005,5.5820813,0.58226556,-41.797264,-2.433513,-0.069023274,0.054655254,-0.17615159,0
1406562041705,1406562041720,-0.090979666,-0.08544307,-0.14963761,0.093373865,7.7720275,5.979519,0.02910544,0.4407674,0.89584625,0.0023942017,7.6865845,5.829881,0.11986898,-41.799137,-5.9017606,-0.04345693,-0.06465436,0.013465475,0
1406562041905,1406562041921,-0.1643021,-0.23343466,-0.047285482,0.09247604,7.771579,5.9801173,0.0288634,0.44075406,0.8958807,-0.07182605,7.538144,5.932832,0.45491818,-41.962578,-7.285657,0.010868094,0.0013920343,0.007068296,0
1406562042303,1406562042318,0.13018471,-0.15352818,-0.0863409,0.21338323,7.9550343,5.7306714,0.033242982,0.45465192,0.8891007,0.34356794,7.801506,5.6443305,1.4544104,-41.90259,-8.636946,0.099285044,0.03441523,0.09335472,0
1406562042504,1406562042534,0.12315175,-0.11791443,-0.124049574,0.28505963,8.03554,5.613954,0.03697301,0.46086714,0.88581765,0.40821138,7.917625,5.4899044,1.840838,-41.876854,-8.773865,0.067323916,0.0077833547,0.025171932,0
1406562043373,1406562043378,0.006135142,-0.025288755,-0.006135142,0.21652561,8.0027685,5.663634,0.034659468,0.45828772,0.8870868,0.22266077,7.97748,5.657499,2.3371358,-41.98754,-8.435573,-0.025357554,0.030153641,-0.040880054,0
1406562043701,1406562043718,0.05551555,-0.22445641,-0.09187749,0.1455974,8.039131,5.614104,0.032041527,0.46122396,0.8855415,0.20111294,7.8146744,5.5222263,1.7188101,-41.963512,-7.556389,0.042826027,0.012044678,0.0006767092,0
1406562044099,1406562044116,0.07796119,0.015711948,0.0175076,0.15427637,7.984513,5.6914663,0.033444915,0.45683122,0.88764036,0.23223756,8.000225,5.708974,1.5075514,-41.430016,-7.102067,-0.04772145,-0.00073849456,-0.0110412,0
1406562044300,1406562044509,1.4525323,0.16534956,0.5352537,0.7070377,8.140136,5.422717,0.062565744,0.46861064,0.88025117,0.14724341,8.191761,5.6766524,1.405021,-41.505898,-6.886981,0.042826027,-0.023109047,-0.017432787,0
1406562044699,1406562044713,-1.0815806,-0.94900167,-0.20530279,1.4203602,8.499117,4.681263,0.14468707,0.4902864,0.8531448,0.33877954,7.550115,4.4759603,1.2860047,-41.44692,-6.8811398,0.33896953,-1.1363103,-0.08560971,0
