unix time,Activity,Status
1415038834277,eat,start
1415039227151,eat,stop
1415039227151,talk,start
1415039659755,talk,stop
1415039659755,eat,start
1415040184696,eat,stop
1415040184696,talk,start
1415040503441,talk,stop
1415040503441,walk,start
1415040515593,walk,stop
1415040515593,stair,start
1415040537375,stair,stop
1415040537375,walk,start
1415040563826,walk,stop
1415040563826,stair,start
1415040576382,stair,stop
1415040576382,walk,start
1415040584946,walk,stop
1415040584946,stair,start
1415040597380,stair,stop
1415040597380,walk,start
1415040630360,walk,stop
1415040630360,homework,start
1415040913041,homework,stop
1415040913041,drink,start
1415040915953,drink,stop
1415040915953,homework,start
1415041773939,homework,stop
1415041773939,drink,start
1415041778032,drink,stop
1415041778032,homework,start
1415042099517,homework,stop
1415042099517,drink,start
1415042102691,drink,stop
1415042102691,homework,start
1415042617996,homework,stop
1415042617996,drink,start
1415042619925,drink,stop
1415042619925,homework,start
1415044064298,homework,stop
1415044064298,drink,start
1415044068079,drink,stop
1415044068079,homework,start
1415045747596,homework,stop
